player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
Adam Jones,2223,CB,16,CIN,505,1,0.2,0,0,1,1,50.0,0,0.0,0,0,0,0,,1,100.0,0,0,1,1,50.0
Morris Claiborne,7012,CB,4,DAL,93,1,1.1,0,1,0,1,50.0,0,0.0,0,0,0,0,,1,100.0,0,1,0,1,50.0
Brandon Flowers,4349,CB,14,SD,455,1,0.2,0,1,0,1,50.0,1,100.0,0,1,0,1,50.0,0,0.0,0,0,0,0,
Jarrett Bush,3261,CB,5,GB,23,1,4.3,0,0,1,1,50.0,1,100.0,0,0,1,1,50.0,0,0.0,0,0,0,0,
Brandon Carr,4454,CB,16,DAL,583,3,0.5,1,1,0,2,50.0,3,100.0,1,1,0,2,50.0,0,0.0,0,0,0,0,
Nico Johnson,7881,LB,8,CIN,30,1,3.3,0,1,0,1,50.0,0,,0,0,0,0,,0,,0,0,0,0,
Charles Tillman,1351,CB,2,CHI,49,1,2.0,0,1,0,1,50.0,0,0.0,0,0,0,0,,1,100.0,0,1,0,1,50.0
Kyle Arrington,4742,CB,14,NE,302,4,1.3,1,0,1,2,37.5,2,50.0,0,0,0,0,0.0,2,50.0,1,0,1,2,75.0
Antoine Bethea,3152,S,16,SF,601,4,0.7,1,0,1,2,37.5,4,100.0,1,0,1,2,37.5,0,0.0,0,0,0,0,
Bene Benwikere,8783,CB,10,CAR,312,8,2.6,0,1,5,6,37.5,6,75.0,0,1,3,4,33.3,2,25.0,0,0,2,2,50.0
Bernard Pollard,2999,S,5,TEN,170,7,4.1,1,0,3,4,35.7,3,50.0,0,0,1,1,16.7,3,50.0,1,0,1,2,50.0
Bacarri Rambo,7972,S,6,BUF,71,3,4.2,0,0,2,2,33.3,1,33.3,0,0,0,0,0.0,2,66.7,0,0,2,2,50.0
Craig Dahl,3920,S,8,SF,116,3,2.6,0,0,2,2,33.3,1,33.3,0,0,1,1,50.0,2,66.7,0,0,1,1,25.0
Robert McClain,5771,CB,14,ATL,386,6,1.6,1,0,2,3,33.3,2,33.3,0,0,1,1,25.0,4,66.7,1,0,1,2,37.5
T.J. Carrie,8853,CB,12,OAK,317,5,1.6,0,1,2,3,30.0,1,20.0,0,0,0,0,0.0,4,80.0,0,1,2,3,37.5
Vontae Davis,4948,CB,15,IND,482,5,1.0,1,1,0,2,30.0,0,0.0,0,0,0,0,,5,100.0,1,1,0,2,30.0
Reshad Jones,5686,S,12,MIA,429,20,4.7,2,1,7,10,30.0,10,66.7,1,0,5,6,35.0,5,33.3,0,1,0,1,10.0
LaRon Landry,3622,S,11,IND,226,17,7.5,3,2,2,7,29.4,5,41.7,1,2,0,3,40.0,7,58.3,1,0,2,3,28.6
Jeff Heath,8396,S,12,DAL,81,2,2.5,0,0,1,1,25.0,0,0.0,0,0,0,0,,2,100.0,0,0,1,1,25.0
Blidi Wreh-Wilson,7851,CB,11,TEN,363,2,0.6,0,0,1,1,25.0,1,50.0,0,0,1,1,50.0,1,50.0,0,0,0,0,0.0
Brandian Ross,6755,S,13,OAK,403,8,2.0,0,2,2,4,25.0,2,28.6,0,1,1,2,50.0,5,71.4,0,0,1,1,10.0
Terence Newman,1321,CB,13,CIN,493,2,0.4,0,0,1,1,25.0,2,100.0,0,0,1,1,25.0,0,0.0,0,0,0,0,
Kam Chancellor,5656,S,14,SEA,463,2,0.4,0,0,1,1,25.0,2,100.0,0,0,1,1,25.0,0,0.0,0,0,0,0,
Brock Vereen,8766,S,13,CHI,304,2,0.7,0,0,1,1,25.0,1,50.0,0,0,0,0,0.0,1,50.0,0,0,1,1,50.0
Dontae Johnson,8764,CB,13,SF,312,10,3.2,0,3,2,5,25.0,4,40.0,0,3,1,4,50.0,6,60.0,0,0,1,1,8.3
Marqueston Huff,8757,CB,11,TEN,195,8,4.1,1,0,2,3,25.0,4,50.0,0,0,1,1,12.5,4,50.0,1,0,1,2,37.5
Audie Cole,7195,LB,6,MIN,55,2,3.6,0,0,1,1,25.0,1,50.0,0,0,1,1,50.0,1,50.0,0,0,0,0,0.0
Danny Gorrer,5424,CB,10,BLT,236,2,0.8,0,0,1,1,25.0,2,100.0,0,0,1,1,25.0,0,0.0,0,0,0,0,
Larry Asante,5683,S,6,OAK,96,2,2.1,0,0,1,1,25.0,1,50.0,0,0,1,1,50.0,1,50.0,0,0,0,0,0.0
Steven Johnson,7298,LB,11,DEN,93,6,6.5,0,1,2,3,25.0,4,80.0,0,0,1,1,12.5,1,20.0,0,1,0,1,50.0
Eddie Pleasant,7593,S,6,HST,46,2,4.3,0,0,1,1,25.0,1,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,
Colt Anderson,5242,S,7,IND,24,4,16.7,0,0,2,2,25.0,2,100.0,0,0,2,2,50.0,0,0.0,0,0,0,0,
Adam Hayward,3798,LB,4,WAS,11,2,18.2,0,0,1,1,25.0,1,50.0,0,0,0,0,0.0,1,50.0,0,0,1,1,50.0
Derrick Johnson,2232,LB,1,KC,21,2,9.5,0,0,1,1,25.0,0,0.0,0,0,0,0,,1,100.0,0,0,1,1,50.0
William Gay,3786,CB,16,PIT,545,2,0.4,0,0,1,1,25.0,0,0.0,0,0,0,0,,2,100.0,0,0,1,1,25.0
Mike Harris,7653,CB,5,NYG,156,6,3.8,1,0,1,2,25.0,3,50.0,1,0,0,1,33.3,3,50.0,0,0,1,1,16.7
Dashon Goldson,3742,S,14,TB,430,2,0.5,0,0,1,1,25.0,1,50.0,0,0,1,1,50.0,1,50.0,0,0,0,0,0.0
Andrew Sendejo,6118,S,8,MIN,83,2,2.4,0,1,0,1,25.0,1,50.0,0,0,0,0,0.0,1,50.0,0,1,0,1,50.0
Byron Maxwell,6325,CB,13,SEA,409,2,0.5,0,0,1,1,25.0,0,0.0,0,0,0,0,,2,100.0,0,0,1,1,25.0
Rashad Johnson,5018,S,16,ARZ,639,12,1.9,1,1,3,5,25.0,6,50.0,1,0,2,3,33.3,6,50.0,0,1,1,2,16.7
Leon McFadden,7849,CB,5,SF,58,4,6.9,0,0,2,2,25.0,3,75.0,0,0,2,2,33.3,1,25.0,0,0,0,0,0.0
K'Waun Williams,9332,CB,13,CLV,234,17,7.3,1,2,4,7,23.5,11,68.8,0,1,3,4,18.2,5,31.3,1,1,1,3,40.0
Taylor Mays,5574,S,9,CIN,48,9,18.8,1,1,1,3,22.2,3,50.0,1,0,0,1,33.3,3,50.0,0,0,0,0,0.0
Perrish Cox,5660,CB,15,SF,544,9,1.7,0,0,4,4,22.2,4,44.4,0,0,3,3,37.5,5,55.6,0,0,1,1,10.0
Daimion Stafford,8031,S,10,TEN,183,7,3.8,1,1,0,2,21.4,3,75.0,0,0,0,0,0.0,1,25.0,0,0,0,0,0.0
Cortland Finnegan,3160,CB,12,MIA,412,14,3.4,0,0,6,6,21.4,7,50.0,0,0,2,2,14.3,7,50.0,0,0,4,4,28.6
Quinton Carter,6260,S,9,DEN,172,7,4.1,1,0,1,2,21.4,3,60.0,1,0,0,1,33.3,2,40.0,0,0,0,0,0.0
Eric Reid,7799,S,15,SF,504,7,1.4,0,1,2,3,21.4,5,83.3,0,0,1,1,10.0,1,16.7,0,0,1,1,50.0
Telvin Smith Sr.,8779,LB,16,JAX,405,20,4.9,2,1,3,6,20.0,8,42.1,0,0,2,2,12.5,11,57.9,2,1,1,4,27.3
Lardarius Webb,5011,CB,13,BLT,494,5,1.0,0,0,2,2,20.0,3,60.0,0,0,2,2,33.3,2,40.0,0,0,0,0,0.0
Terrence Brooks,8714,S,7,BLT,183,5,2.7,0,1,1,2,20.0,1,20.0,0,0,0,0,0.0,4,80.0,0,1,1,2,25.0
Bashaud Breeland,8737,CB,16,WAS,493,5,1.0,0,1,1,2,20.0,3,60.0,0,0,1,1,16.7,2,40.0,0,1,0,1,25.0
Geno Hayes,4489,LB,16,JAX,257,15,5.8,2,0,2,4,20.0,8,61.5,2,0,0,2,25.0,5,38.5,0,0,2,2,20.0
Aaron Colvin,8749,CB,6,JAX,160,5,3.1,0,1,1,2,20.0,2,40.0,0,0,1,1,25.0,3,60.0,0,1,0,1,16.7
Tre Boston,8763,S,9,CAR,225,5,2.2,0,1,1,2,20.0,3,60.0,0,1,1,2,33.3,2,40.0,0,0,0,0,0.0
Marcus Burley,8142,CB,11,SEA,210,5,2.4,1,0,0,1,20.0,2,40.0,0,0,0,0,0.0,3,60.0,1,0,0,1,33.3
Tyvon Branch,4414,S,3,OAK,78,5,6.4,1,0,0,1,20.0,3,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,
Chris Owens,5013,CB,11,KC,330,15,4.5,1,0,4,5,20.0,8,53.3,1,0,4,5,37.5,7,46.7,0,0,0,0,0.0
Devin McCourty,5552,S,16,NE,590,5,0.8,0,0,2,2,20.0,3,75.0,0,0,0,0,0.0,1,25.0,0,0,1,1,50.0
James Ihedigbo,4147,S,13,DET,517,24,4.6,2,3,2,7,18.8,9,47.4,1,1,1,3,22.2,10,52.6,1,2,1,4,25.0
Jamie Collins Sr.,7833,LB,15,NE,543,81,14.9,4,6,16,26,18.5,25,34.2,2,1,7,10,24.0,48,65.8,1,4,8,13,14.6
Tyrann Mathieu,7850,S,13,ARZ,297,27,9.1,0,3,7,10,18.5,12,46.2,0,0,4,4,16.7,14,53.8,0,2,3,5,17.9
Demontre Hurst,8359,CB,11,CHI,277,11,4.0,0,3,1,4,18.2,4,36.4,0,2,0,2,25.0,7,63.6,0,1,1,2,14.3
Stephen Tulloch,3061,LB,3,DET,79,11,13.9,2,0,0,2,18.2,4,57.1,1,0,0,1,25.0,3,42.9,1,0,0,1,33.3
Nigel Bradham,7105,LB,14,BUF,439,45,10.3,2,4,8,14,17.8,20,52.6,1,1,4,6,17.5,18,47.4,0,1,4,5,13.9
Devon Kennard,8809,LB,10,NYG,139,38,27.3,5,0,3,8,17.1,17,45.9,2,0,3,5,20.6,20,54.1,3,0,0,3,15.0
Sio Moore,7847,LB,11,OAK,357,62,17.4,3,3,12,18,16.9,37,62.7,2,1,8,11,17.6,22,37.3,1,2,3,6,15.9
Darius Fleming,7157,ED,2,NE,13,3,23.1,0,0,1,1,16.7,2,66.7,0,0,1,1,25.0,1,33.3,0,0,0,0,0.0
Terrence Cody,5582,DI,1,BLT,3,3,100.0,0,0,1,1,16.7,3,100.0,0,0,1,1,16.7,0,0.0,0,0,0,0,
Tyler Patmon,9135,CB,7,DAL,58,3,5.2,0,0,1,1,16.7,0,0.0,0,0,0,0,,2,100.0,0,0,1,1,25.0
Justin Gilbert,8643,CB,13,CLV,248,3,1.2,0,1,0,1,16.7,2,100.0,0,1,0,1,25.0,0,0.0,0,0,0,0,
LaRoy Reynolds,8500,LB,4,JAX,48,6,12.5,0,1,1,2,16.7,3,50.0,0,0,0,0,0.0,3,50.0,0,1,1,2,33.3
Chase Blackburn,2498,LB,5,CAR,26,3,11.5,0,1,0,1,16.7,1,33.3,0,0,0,0,0.0,2,66.7,0,1,0,1,25.0
Justin Tuggle,8225,LB,10,HST,120,15,12.5,0,1,4,5,16.7,8,57.1,0,0,2,2,12.5,6,42.9,0,1,2,3,25.0
Jahleel Addae,8117,S,11,SD,267,6,2.2,1,0,0,1,16.7,3,60.0,0,0,0,0,0.0,2,40.0,1,0,0,1,50.0
Sean Smith,4984,CB,16,KC,596,3,0.5,0,0,1,1,16.7,1,33.3,0,0,0,0,0.0,2,66.7,0,0,1,1,25.0
Sherrod Martin,4982,S,7,JAX,74,3,4.1,0,1,0,1,16.7,0,0.0,0,0,0,0,,3,100.0,0,1,0,1,16.7
Chris Harris Jr.,6457,CB,16,DEN,637,15,2.4,1,0,3,4,16.7,11,73.3,0,0,2,2,9.1,4,26.7,1,0,1,2,37.5
Corey White,7652,CB,15,NO,450,15,3.3,1,1,2,4,16.7,6,40.0,0,1,1,2,16.7,9,60.0,1,0,1,2,16.7
James Dockery,6814,CB,5,CAR,62,3,4.8,0,0,1,1,16.7,2,66.7,0,0,0,0,0.0,1,33.3,0,0,1,1,50.0
T.J. Ward,5563,S,15,DEN,656,34,5.2,2,3,4,9,16.2,15,71.4,1,2,2,5,20.0,6,28.6,0,0,0,0,0.0
Harrison Smith,7641,S,16,MIN,588,38,6.5,2,3,5,10,15.8,14,40.0,1,1,2,4,17.9,21,60.0,1,2,3,6,16.7
Luke Kuechly,7015,LB,16,CAR,607,54,8.9,3,1,10,14,15.7,21,55.3,0,1,4,5,11.9,17,44.7,2,0,2,4,17.6
Akeem Dent,6243,LB,8,HST,99,29,29.3,1,5,2,8,15.5,13,48.1,1,1,0,2,11.5,14,51.9,0,4,2,6,21.4
Patrick Chung,4957,S,16,NE,463,13,2.8,0,2,2,4,15.4,3,27.3,0,0,1,1,16.7,8,72.7,0,1,1,2,12.5
Darius Butler,4964,CB,14,IND,394,13,3.3,0,2,2,4,15.4,7,53.8,0,0,2,2,14.3,6,46.2,0,2,0,2,16.7
Dekoda Watson,5740,LB,5,DAL,36,13,36.1,0,1,3,4,15.4,7,53.8,0,1,2,3,21.4,6,46.2,0,0,1,1,8.3
Stevie Brown,5773,S,14,NYG,318,13,4.1,1,1,1,3,15.4,5,45.5,0,0,0,0,0.0,6,54.5,1,1,1,3,33.3
Colin Jones,6342,CB,10,CAR,190,13,6.8,1,0,2,3,15.4,5,38.5,0,0,2,2,20.0,8,61.5,1,0,0,1,12.5
Jim Leonhard,2694,S,16,CLV,312,23,7.4,1,1,4,6,15.2,11,61.1,0,1,2,3,13.6,7,38.9,1,0,1,2,21.4
Brandon Marshall,7648,LB,14,DEN,577,43,7.5,2,2,7,11,15.1,10,35.7,0,1,1,2,10.0,18,64.3,2,0,5,7,25.0
Justin Durant,3664,LB,6,DAL,183,20,10.9,0,1,5,6,15.0,8,53.3,0,0,0,0,0.0,7,46.7,0,1,3,4,28.6
Trevardo Williams,7906,ED,2,WAS,11,10,90.9,1,0,1,2,15.0,2,20.0,0,0,1,1,25.0,8,80.0,1,0,0,1,12.5
Da'Norris Searcy,6252,S,15,BUF,398,20,5.0,1,2,2,5,15.0,7,36.8,0,1,1,2,14.3,12,63.2,1,1,1,3,16.7
Brandon Boykin,7123,CB,16,PHI,400,10,2.5,0,0,3,3,15.0,7,70.0,0,0,3,3,21.4,3,30.0,0,0,0,0,0.0
Sam Barrington,8015,LB,11,GB,171,20,11.7,1,3,1,5,15.0,7,36.8,0,1,0,1,7.1,12,63.2,1,2,1,4,20.8
Jamari Lattimore,6754,LB,7,GB,142,10,7.0,0,0,3,3,15.0,7,70.0,0,0,1,1,7.1,3,30.0,0,0,2,2,33.3
Jerraud Powers,5015,CB,16,ARZ,517,54,10.4,1,3,11,15,14.8,14,25.9,0,0,3,3,10.7,40,74.1,1,3,8,12,16.3
Jaiquawn Jarrett,6206,S,14,NYJ,216,17,7.9,1,1,2,4,14.7,7,58.3,0,1,1,2,14.3,5,41.7,1,0,0,1,20.0
Ashlee Palmer,5281,LB,14,DET,92,24,26.1,2,0,3,5,14.6,13,54.2,1,0,2,3,15.4,11,45.8,1,0,1,2,13.6
E.J. Biggers,5141,CB,14,WAS,332,14,4.2,0,0,4,4,14.3,5,38.5,0,0,2,2,20.0,8,61.5,0,0,1,1,6.3
Brandon Meriweather,3640,S,10,WAS,340,35,10.3,3,1,3,7,14.3,11,35.5,2,0,1,3,22.7,20,64.5,1,0,1,2,7.5
Cameron Lawrence,8293,LB,4,DAL,56,7,12.5,1,0,0,1,14.3,1,25.0,1,0,0,1,100.0,3,75.0,0,0,0,0,0.0
Kavell Conner,5763,LB,13,SD,127,7,5.5,0,0,2,2,14.3,5,71.4,0,0,1,1,10.0,2,28.6,0,0,1,1,25.0
Jerod Mayo,4324,LB,6,NE,182,28,15.4,1,1,5,7,14.3,11,57.9,0,1,1,2,9.1,8,42.1,1,0,1,2,18.8
Major Wright,5600,S,11,TB,276,7,2.5,1,0,0,1,14.3,2,28.6,1,0,0,1,50.0,5,71.4,0,0,0,0,0.0
Patrick Willis,3627,LB,6,SF,206,18,8.7,0,1,4,5,13.9,8,50.0,0,0,3,3,18.8,8,50.0,0,1,1,2,12.5
Mark Barron,7013,S,15,SL,382,47,12.3,3,1,6,10,13.8,23,52.3,2,1,1,4,13.0,21,47.7,1,0,5,6,16.7
Dawan Landry,3091,S,16,NYJ,561,26,4.6,2,1,2,5,13.5,11,50.0,1,0,0,1,9.1,11,50.0,1,1,2,4,22.7
Koa Misi,5565,LB,11,MIA,305,48,15.7,1,3,8,12,13.5,13,39.4,0,1,4,5,19.2,20,60.6,0,1,3,4,10.0
Rolando McClain,5533,LB,13,DAL,362,37,10.2,0,3,7,10,13.5,13,61.9,0,0,3,3,11.5,8,38.1,0,1,1,2,12.5
Jelani Jenkins,7886,LB,15,MIA,513,52,10.1,3,2,6,11,13.5,18,51.4,1,1,3,5,16.7,17,48.6,1,1,2,4,14.7
Ryan Shazier,8650,LB,8,PIT,157,15,9.6,0,0,4,4,13.3,8,57.1,0,0,3,3,18.8,6,42.9,0,0,1,1,8.3
Reggie Nelson,3637,S,16,CIN,633,53,8.4,2,3,7,12,13.2,20,46.5,1,1,4,6,17.5,23,53.5,1,1,2,4,10.9
Brandon Graham,5538,ED,16,PHI,293,225,76.8,6,8,37,51,12.7,56,25.1,1,1,9,11,10.7,167,74.9,5,7,28,40,13.5
Joe Mays,4514,LB,4,KC,41,4,9.8,0,0,1,1,12.5,4,100.0,0,0,1,1,12.5,0,0.0,0,0,0,0,
Jamarca Sanford,5155,S,2,NO,44,4,9.1,0,0,1,1,12.5,1,50.0,0,0,1,1,50.0,1,50.0,0,0,0,0,0.0
Tavon Wilson,7051,S,13,NE,116,8,6.9,0,1,1,2,12.5,2,33.3,0,0,0,0,0.0,4,66.7,0,1,1,2,25.0
Jamar Taylor,7835,CB,12,MIA,204,4,2.0,0,0,1,1,12.5,3,75.0,0,0,1,1,16.7,1,25.0,0,0,0,0,0.0
Duke Williams,7887,S,16,BUF,315,12,3.8,0,2,1,3,12.5,7,58.3,0,0,1,1,7.1,5,41.7,0,2,0,2,20.0
Casey Matthews,6268,LB,15,PHI,201,40,19.9,2,2,4,8,12.5,20,66.7,1,1,2,4,12.5,10,33.3,1,0,1,2,15.0
Malcolm Jenkins,4937,S,16,PHI,664,20,3.0,0,0,5,5,12.5,11,84.6,0,0,3,3,13.6,2,15.4,0,0,0,0,0.0
Alfonzo Dennard,7208,CB,6,NE,134,4,3.0,0,0,1,1,12.5,2,50.0,0,0,1,1,25.0,2,50.0,0,0,0,0,0.0
Phillip Gaines,8722,CB,8,KC,215,4,1.9,0,1,0,1,12.5,3,75.0,0,1,0,1,16.7,1,25.0,0,0,0,0,0.0
Trevor Scott,4483,ED,2,CHI,8,8,100.0,0,1,1,2,12.5,6,75.0,0,0,0,0,0.0,2,25.0,0,1,1,2,50.0
Jonathan Freeny,6633,LB,5,MIA,17,8,47.1,1,0,0,1,12.5,2,40.0,0,0,0,0,0.0,3,60.0,1,0,0,1,33.3
Roman Harper,2988,S,16,CAR,552,20,3.6,1,1,2,4,12.5,10,55.6,1,0,2,3,20.0,8,44.4,0,1,0,1,6.3
Isa Abdul-Quddus,6722,S,12,DET,177,8,4.5,0,1,1,2,12.5,3,42.9,0,0,1,1,16.7,4,57.1,0,1,0,1,12.5
Coty Sensabaugh,7115,CB,13,TEN,386,12,3.1,1,0,1,2,12.5,5,41.7,0,0,1,1,10.0,7,58.3,1,0,0,1,14.3
Ty Powell,8014,LB,7,BUF,32,8,25.0,1,0,0,1,12.5,7,87.5,1,0,0,1,14.3,1,12.5,0,0,0,0,0.0
Darrell Stuckey,5634,S,11,SD,121,8,6.6,0,1,1,2,12.5,4,100.0,0,1,0,1,12.5,0,0.0,0,0,0,0,
Danny Lansanah,4713,LB,15,TB,308,20,6.5,1,0,3,4,12.5,5,31.3,0,0,1,1,10.0,11,68.8,1,0,1,2,13.6
Ryan Clark,1229,S,16,WAS,575,24,4.2,1,0,4,5,12.5,9,45.0,1,0,2,3,22.2,11,55.0,0,0,2,2,9.1
David Bruton,5037,S,5,DEN,129,4,3.1,0,0,1,1,12.5,2,66.7,0,0,0,0,0.0,1,33.3,0,0,1,1,50.0
Antonio Cromartie,2964,CB,16,ARZ,597,4,0.7,0,0,1,1,12.5,3,75.0,0,0,0,0,0.0,1,25.0,0,0,1,1,50.0
Justin Houston,6222,ED,16,KC,593,444,74.9,23,8,54,85,12.2,392,88.5,21,8,48,77,12.5,51,11.5,2,0,6,8,9.8
Mychal Kendricks,7049,LB,12,PHI,428,115,26.9,4,6,14,24,12.2,35,43.2,2,3,1,6,11.4,46,56.8,2,1,5,8,10.9
Bobby Wagner,7050,LB,11,SEA,390,41,10.5,2,4,2,8,12.2,14,53.8,1,1,1,3,14.3,12,46.2,0,0,0,0,0.0
Michael Griffin,3635,S,16,TEN,596,29,4.9,3,0,1,4,12.1,10,50.0,3,0,0,3,30.0,10,50.0,0,0,1,1,5.0
Dont'a Hightower,7030,LB,12,NE,492,149,30.3,6,8,16,30,12.1,59,43.1,3,4,11,18,17.8,78,56.9,2,4,5,11,8.3
Matt Elam,7813,S,16,BLT,380,29,7.6,1,2,3,6,12.1,11,39.3,0,1,1,2,9.1,17,60.7,1,1,2,4,14.7
Jameel McClain,4788,LB,16,NYG,537,71,13.2,3,4,7,14,12.0,21,52.5,0,1,0,1,2.4,19,47.5,0,2,4,6,15.8
Kendrick Lewis,5659,S,16,HST,646,25,3.9,0,1,5,6,12.0,0,0.0,0,0,0,0,,14,100.0,0,1,2,3,10.7
C.J. Mosley,8652,LB,16,BLT,656,105,16.0,2,8,13,23,11.9,51,49.5,1,3,7,11,11.8,52,50.5,1,4,6,11,11.5
Kevin Pierre-Louis,8767,LB,5,SEA,60,17,28.3,0,0,4,4,11.8,6,37.5,0,0,1,1,8.3,10,62.5,0,0,2,2,10.0
Tony Jefferson,8361,S,16,ARZ,388,34,8.8,1,2,4,7,11.8,9,34.6,1,0,0,1,11.1,17,65.4,0,1,2,3,8.8
Marcus Gilchrist,6202,S,16,SD,547,30,5.5,1,1,4,6,11.7,15,65.2,0,0,1,1,3.3,8,34.8,0,0,2,2,12.5
Dane Fletcher,5807,LB,9,TB,194,26,13.4,1,0,4,5,11.5,9,81.8,0,0,2,2,11.1,2,18.2,0,0,0,0,0.0
Jeremy Lane,7164,CB,5,SEA,142,13,9.2,0,0,3,3,11.5,9,69.2,0,0,2,2,11.1,4,30.8,0,0,1,1,12.5
Buster Skrine,6289,CB,16,CLV,629,13,2.1,0,0,3,3,11.5,8,61.5,0,0,1,1,6.3,5,38.5,0,0,2,2,20.0
Anthony Hitchens,8754,LB,13,DAL,280,22,7.9,0,2,3,5,11.4,10,76.9,0,1,2,3,15.0,3,23.1,0,1,0,1,16.7
Thomas Davis Sr.,2231,LB,15,CAR,572,84,14.7,2,3,12,17,11.3,43,60.6,2,2,7,11,15.1,28,39.4,0,1,2,3,5.4
Josh McNary,8073,LB,9,IND,145,36,24.8,1,2,4,7,11.1,12,36.4,0,0,2,2,8.3,21,63.6,1,2,2,5,14.3
Jamie Meder,8940,DI,1,CLV,9,9,100.0,0,0,2,2,11.1,3,60.0,0,0,0,0,0.0,2,40.0,0,0,1,1,25.0
Will Blackmon,3060,CB,8,JAX,235,9,3.8,1,0,0,1,11.1,6,66.7,1,0,0,1,16.7,3,33.3,0,0,0,0,0.0
Justin Bethel,7654,CB,9,ARZ,87,9,10.3,0,1,1,2,11.1,7,77.8,0,1,1,2,14.3,2,22.2,0,0,0,0,0.0
Ryan Mundy,4508,S,16,CHI,540,9,1.7,1,0,0,1,11.1,5,55.6,1,0,0,1,20.0,4,44.4,0,0,0,0,0.0
J.J. Watt,6163,DI,16,HST,632,632,100.0,21,44,54,119,11.1,451,71.4,12,30,37,79,10.1,181,28.6,9,14,17,40,13.5
DeAndre Levy,4999,LB,16,DET,646,69,10.7,3,1,8,12,10.9,26,44.1,3,0,3,6,17.3,33,55.9,0,0,5,5,7.6
Morgan Burnett,5596,S,15,GB,546,23,4.2,1,0,3,4,10.9,16,100.0,1,0,2,3,12.5,0,0.0,0,0,0,0,
Robert Ayers,4941,ED,12,NYG,241,236,97.9,5,12,29,46,10.8,110,46.8,5,5,10,20,11.4,125,53.2,0,7,19,26,10.4
Nate Irving,6219,LB,8,DEN,212,14,6.6,1,1,0,2,10.7,8,57.1,0,1,0,1,6.3,6,42.9,1,0,0,1,16.7
David Hawthorne,4693,LB,12,NO,395,42,10.6,2,2,3,7,10.7,15,40.5,1,0,3,4,16.7,22,59.5,1,1,0,2,6.8
Marcus Smith,8661,LB,6,PHI,56,14,25.0,0,1,2,3,10.7,4,33.3,0,0,1,1,12.5,8,66.7,0,1,1,2,12.5
Perry Riley,5627,LB,14,WAS,501,56,11.2,3,2,4,9,10.7,27,57.4,2,1,2,5,13.0,20,42.6,1,1,2,4,12.5
Ha Ha Clinton-Dix,8656,S,16,GB,570,19,3.3,0,1,3,4,10.5,3,27.3,0,0,0,0,0.0,8,72.7,0,0,2,2,12.5
Pernell McPhee,6317,ED,16,BLT,372,347,93.3,8,21,35,64,10.4,144,43.4,3,4,10,17,6.9,188,56.6,4,17,23,44,12.8
Daryl Smith,1760,LB,16,BLT,628,64,10.2,1,4,7,12,10.2,32,65.3,0,0,4,4,6.3,17,34.7,0,2,2,4,11.8
Wesley Woodyard,4583,LB,16,TEN,430,84,19.5,3,3,8,14,10.1,52,71.2,2,1,4,7,8.7,21,28.8,1,1,3,5,14.3
